# Columns are numbered by [i] in the line below
#   m_DM[1]     m_phiq[2]     m_phil[3]     gmu[4]     |gu|_min[5]     |gu|_max[6]     |gc|_min[7]     |gc|_max[8]     |gt|_min[9]     |gt|_max[10]     |gs|_min[11]     |gs|_max[12]     |gb|_min[13]     |gb|_max[14]
36.569	1887	687	3.545	0.0595	0.0615	0.2526	0.2611	0.2596	0.2683	0.2666	0.2756	0.2666	0.2756
15.095	4041	441	3.545	0.0874	0.0898	0.3711	0.3815	0.3814	0.3921	0.3918	0.4027	0.3918	0.4027
8.255	2907	326	3.545	0.0657	0.0761	0.2793	0.3233	0.2870	0.3322	0.2945	0.3411	0.2945	0.3411
55.256	790	845	3.545	0.0392	0.0402	0.1664	0.1709	0.1710	0.1756	0.1756	0.1804	0.1756	0.1804
13.404	3984	416	3.545	0.0856	0.0891	0.3634	0.3784	0.3734	0.3889	0.3838	0.3996	0.3838	0.3996
9.881	1937	357	3.545	0.0513	0.0621	0.2180	0.2640	0.2240	0.2712	0.2296	0.2785	0.2296	0.2785
16.933	3763	468	3.545	0.0832	0.0867	0.3531	0.3682	0.3629	0.3783	0.3729	0.3889	0.3729	0.3889
40.794	1463	726	3.545	0.0508	0.0542	0.2156	0.2304	0.2215	0.2367	0.2275	0.2428	0.2275	0.2428
25.851	2019	578	3.545	0.0588	0.0635	0.2497	0.2698	0.2566	0.2773	0.2635	0.2845	0.2635	0.2845
26.766	947	588	3.545	0.0386	0.0435	0.1641	0.1847	0.1686	0.1898	0.1728	0.1949	0.1728	0.1949
19.764	1327	505	3.545	0.0438	0.0514	0.1864	0.2184	0.1915	0.2244	0.1963	0.2300	0.1963	0.2300
45.564	874	767	3.545	0.0402	0.0422	0.1705	0.1791	0.1752	0.1841	0.1800	0.1891	0.1800	0.1891
22.366	985	537	3.545	0.0374	0.0444	0.1589	0.1888	0.1633	0.1940	0.1674	0.1986	0.1674	0.1986
18.739	1827	492	3.545	0.0529	0.0603	0.2249	0.2571	0.2311	0.2642	0.2368	0.2699	0.2368	0.2699
27.331	497	594	3.545	0.0279	0.0310	0.1187	0.1320	0.1219	0.1356	0.1249	0.1387	0.1249	0.1387
23.923	2164	556	3.545	0.0596	0.0657	0.2532	0.2787	0.2602	0.2864	0.2672	0.2944	0.2672	0.2944
54.069	1401	836	3.545	0.0516	0.0530	0.2191	0.2250	0.2252	0.2312	0.2314	0.2375	0.2314	0.2375
12.973	3730	409	3.545	0.0814	0.0862	0.3459	0.3661	0.3554	0.3762	0.3651	0.3865	0.3651	0.3865
35.681	1794	679	3.545	0.0577	0.0599	0.2453	0.2548	0.2520	0.2618	0.2587	0.2682	0.2587	0.2682
45.780	1821	769	3.545	0.0588	0.0604	0.2495	0.2565	0.2564	0.2636	0.2634	0.2706	0.2634	0.2706
28.965	367	612	3.545	0.0269	0.0274	0.1147	0.1168	0.1179	0.1200	0.1204	0.1228	0.1204	0.1228
5.161	2401	258	3.545	0.0569	0.0692	0.2419	0.2938	0.2486	0.3020	0.2547	0.3104	0.2547	0.3104
10.274	4540	364	3.545	0.0923	0.0951	0.3918	0.4037	0.4026	0.4149	0.4137	0.4263	0.4137	0.4263
12.630	4569	404	3.545	0.0939	0.0955	0.3984	0.4054	0.4094	0.4166	0.4208	0.4280	0.4208	0.4280
13.471	4177	417	3.545	0.0886	0.0912	0.3760	0.3872	0.3864	0.3979	0.3970	0.4091	0.3970	0.4091
31.749	1849	640	3.545	0.0556	0.0609	0.2361	0.2585	0.2426	0.2656	0.2491	0.2729	0.2491	0.2729
23.685	1648	553	3.545	0.0502	0.0573	0.2133	0.2434	0.2192	0.2501	0.2248	0.2572	0.2248	0.2572
11.204	1147	380	3.545	0.0388	0.0477	0.1651	0.2027	0.1697	0.2083	0.1734	0.2135	0.1734	0.2135
49.002	808	795	3.545	0.0387	0.0403	0.1646	0.1711	0.1691	0.1758	0.1737	0.1806	0.1737	0.1806
37.043	1391	692	3.545	0.0492	0.0527	0.2093	0.2238	0.2151	0.2299	0.2207	0.2363	0.2207	0.2363
11.336	1574	383	3.545	0.0465	0.0560	0.1976	0.2380	0.2030	0.2446	0.2081	0.2507	0.2081	0.2507
41.532	355	732	3.545	0.0263	0.0273	0.1118	0.1158	0.1148	0.1190	0.1178	0.1222	0.1178	0.1222
40.803	1673	726	3.545	0.0553	0.0579	0.2350	0.2463	0.2415	0.2530	0.2480	0.2596	0.2480	0.2596
13.580	4076	419	3.545	0.0867	0.0901	0.3680	0.3830	0.3782	0.3936	0.3886	0.4039	0.3886	0.4039
12.243	2593	398	3.545	0.0631	0.0719	0.2682	0.3056	0.2756	0.3140	0.2827	0.3223	0.2827	0.3223
34.791	1281	670	3.545	0.0465	0.0506	0.1976	0.2151	0.2031	0.2210	0.2085	0.2267	0.2085	0.2267
5.998	5881	278	3.545	0.1068	0.1084	0.4533	0.4600	0.4658	0.4728	0.4789	0.4860	0.4789	0.4860
28.680	2428	609	3.545	0.0663	0.0696	0.2814	0.2958	0.2892	0.3040	0.2970	0.3117	0.2970	0.3117
47.913	1386	787	3.545	0.0509	0.0529	0.2162	0.2248	0.2222	0.2309	0.2282	0.2368	0.2282	0.2368
36.305	2101	685	3.545	0.0618	0.0648	0.2623	0.2751	0.2696	0.2827	0.2769	0.2905	0.2769	0.2905
16.023	1585	455	3.545	0.0466	0.0562	0.1983	0.2387	0.2038	0.2453	0.2089	0.2516	0.2089	0.2516
30.228	2179	625	3.545	0.0615	0.0659	0.2610	0.2802	0.2682	0.2879	0.2755	0.2954	0.2755	0.2954
