# Columns are numbered by [i] in the line below
#   m_DM[1]     m_phiq[2]     m_phil[3]     gmu[4]     |gu|_min[5]     |gu|_max[6]     |gc|_min[7]     |gc|_max[8]     |gt|_min[9]     |gt|_max[10]     |gs|_min[11]     |gs|_max[12]     |gb|_min[13]     |gb|_max[14]
109.421	4160	1189	3.545	0.0559	0.0583	0.2258	0.2366	1.0283	1.0693	0.2591	0.2693	1.0362	1.0771
38.391	8893	704	3.545	0.0842	0.0842	0.3391	0.3391	1.5500	1.5500	0.3906	0.3906	1.5622	1.5622
15.767	6386	451	3.545	0.0604	0.0742	0.2439	0.3064	1.1095	1.3520	0.2795	0.3400	1.1181	1.3601
32.798	8765	651	3.545	0.0819	0.0842	0.3302	0.3403	1.5077	1.5487	0.3799	0.3902	1.5195	1.5606
21.144	4249	522	3.545	0.0455	0.0622	0.1839	0.2589	0.8376	1.1278	0.2110	0.2834	0.8441	1.1337
44.470	8281	758	3.545	0.0804	0.0814	0.3239	0.3284	1.4801	1.4971	0.3730	0.3772	1.4918	1.5087
123.397	3229	1262	3.545	0.0488	0.0516	0.1967	0.2100	0.8986	0.9460	0.2264	0.2382	0.9057	0.9527
73.968	4441	977	3.545	0.0544	0.0604	0.2196	0.2469	1.0008	1.1060	0.2521	0.2784	1.0085	1.1136
76.994	2080	997	3.545	0.0351	0.0426	0.1413	0.1761	0.6454	0.7742	0.1626	0.1947	0.6505	0.7788
53.836	2912	834	3.545	0.0404	0.0509	0.1634	0.2110	0.7413	0.9244	0.1867	0.2324	0.7469	0.9296
139.174	1938	1340	3.545	0.0366	0.0402	0.1475	0.1618	0.6735	0.7397	0.1697	0.1864	0.6788	0.7456
62.442	2160	898	3.545	0.0340	0.0442	0.1375	0.1837	0.6253	0.8034	0.1575	0.2020	0.6301	0.8078
50.443	4014	807	3.545	0.0485	0.0590	0.1956	0.2435	0.8928	1.0739	0.2250	0.2701	0.8998	1.0804
78.865	1090	1009	3.545	0.0276	0.0315	0.1120	0.1304	0.5059	0.5719	0.1274	0.1438	0.5096	0.5752
67.590	4759	934	3.545	0.0576	0.0626	0.2325	0.2551	1.0594	1.1476	0.2669	0.2889	1.0676	1.1557
167.305	3104	1470	3.545	0.0503	0.0505	0.2029	0.2038	0.9254	0.9283	0.2331	0.2339	0.9326	0.9354
31.372	8204	636	3.545	0.0775	0.0815	0.3125	0.3297	1.4265	1.4984	0.3594	0.3774	1.4377	1.5098
106.483	3954	1173	3.545	0.0539	0.0566	0.2176	0.2282	0.9905	1.0427	0.2495	0.2627	0.9981	1.0509
139.889	4022	1344	3.545	0.0563	0.0563	0.2268	0.2268	1.0363	1.0363	0.2611	0.2611	1.0445	1.0445
135.781	775	1324	3.545	0.0270	0.0270	0.1096	0.1096	0.4943	0.4943	0.1245	0.1245	0.4979	0.4979
84.270	805	1043	3.545	0.0230	0.0268	0.0934	0.1105	0.4212	0.4890	0.1061	0.1230	0.4242	0.4920
5.532	5268	267	3.545	0.0487	0.0700	0.1974	0.2923	0.8932	1.2682	0.2250	0.3187	0.8998	1.2747
22.445	9990	538	3.545	0.0882	0.0898	0.3552	0.3621	1.6226	1.6527	0.4088	0.4164	1.6354	1.6657
33.019	9190	653	3.545	0.0852	0.0860	0.3435	0.3464	1.5685	1.5822	0.3952	0.3987	1.5809	1.5947
93.477	4072	1099	3.545	0.0532	0.0579	0.2145	0.2356	0.9788	1.0607	0.2466	0.2671	0.9864	1.0682
66.805	3623	929	3.545	0.0466	0.0559	0.1883	0.2302	0.8572	1.0184	0.2159	0.2562	0.8638	1.0247
25.522	2507	574	3.545	0.0332	0.0488	0.1343	0.2043	0.6100	0.8839	0.1537	0.2221	0.6146	0.8882
150.544	1795	1394	3.545	0.0367	0.0367	0.1482	0.1482	0.6746	0.6746	0.1700	0.1700	0.6798	0.6798
110.989	3068	1197	3.545	0.0464	0.0500	0.1878	0.2019	0.8534	0.9183	0.2150	0.2313	0.8599	0.9253
25.957	3450	579	3.545	0.0408	0.0563	0.1646	0.2344	0.7494	1.0203	0.1888	0.2564	0.7551	1.0257
125.838	793	1275	3.545	0.0267	0.0267	0.1084	0.1084	0.4904	0.4904	0.1235	0.1235	0.4941	0.4941
123.424	3693	1262	3.545	0.0527	0.0551	0.2125	0.2235	0.9699	1.0100	0.2444	0.2543	0.9776	1.0174
33.381	8968	656	3.545	0.0838	0.0852	0.3374	0.3443	1.5420	1.5663	0.3885	0.3946	1.5541	1.5783
28.957	5697	611	3.545	0.0587	0.0693	0.2366	0.2852	1.0804	1.2646	0.2722	0.3182	1.0889	1.2726
103.541	2823	1156	3.545	0.0430	0.0490	0.1737	0.2008	0.7916	0.8953	0.1994	0.2253	0.7977	0.9012
8.299	12948	327	3.545	0.1012	0.1022	0.4074	0.4122	1.8625	1.8802	0.4693	0.4737	1.8773	1.8949
83.326	5345	1037	3.545	0.0634	0.0660	0.2558	0.2676	1.1657	1.2125	0.2937	0.3054	1.1748	1.2216
146.942	3066	1377	3.545	0.0487	0.0497	0.1960	0.2002	0.8959	0.9151	0.2257	0.2306	0.9030	0.9224
108.547	4631	1184	3.545	0.0591	0.0604	0.2381	0.2441	1.0880	1.1113	0.2742	0.2800	1.0966	1.1198
41.461	3478	732	3.545	0.0421	0.0551	0.1700	0.2282	0.7744	1.0005	0.1951	0.2515	0.7804	1.0062
88.447	4797	1069	3.545	0.0597	0.0627	0.2412	0.2547	1.0977	1.1495	0.2765	0.2895	1.1062	1.1578
